Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Johnson, IL",17087,348.89,348.88,346.47,346.04,344.63,343.92,2.85,4.25
"Kane, IL",17089,524.12,524.08,524.45,520.7,520.44,520.06,3.42,3.64
"Kankakee, IL",17091,681.49,681.44,678.53,677.51,676.75,676.56,3.98,4.7
"Kendall, IL",17093,322.69,322.67,322.21,320.65,320.58,320.34,2.04,2.09
"Knox, IL",17095,719.74,719.7,719.9,716.32,716.28,716.4,3.42,3.42
"Lake, IL",17097,1368.05,1367.95,454.39,447.79,447.56,443.67,920.26,920.39
"LaSalle, IL",17099,1148.12,1148.04,1138.85,1135.05,1134.92,1135.12,13.07,13.12
"Lawrence, IL",17101,373.97,373.94,374.08,372.01,371.98,372.18,1.96,1.96
"Lee, IL",17103,729.34,729.29,724.81,725.41,725.36,724.9,3.93,3.92
"Livingston, IL",17105,1045.49,1045.43,1045.58,1043.82,1043.76,1044.29,1.67,1.67
"Logan, IL",17107,619.04,619.01,619.05,618.17,618.14,618.06,0.87,0.87
"McDonough, IL",17109,590.06,590.02,589.92,589.31,589.27,589.41,0.75,0.75
"McHenry, IL",17111,611.18,611.13,606.48,604.15,603.51,603.17,7.03,7.62
"McLean, IL",17113,1186.33,1186.29,1184.84,1183.64,1183.53,1183.38,2.69,2.76
"Macon, IL",17115,585.4,585.38,581.38,580.55,580.52,580.69,4.85,4.86
"Macoupin, IL",17117,867.65,867.61,865.03,863.68,863.57,862.91,3.97,4.04
"Madison, IL",17119,740.39,740.35,727.72,725.07,725.02,715.58,15.32,15.33
"Marion, IL",17121,575.73,575.71,572.79,572.29,572.26,572.36,3.44,3.44
"Marshall, IL",17123,398.53,398.52,388.15,386.11,386.06,386.79,12.42,12.45
"Mason, IL",17125,563.41,563.37,536.3,538.98,538.94,539.24,24.43,24.43
"Massac, IL",17127,242.13,242.12,240.52,239.05,239.05,237.22,3.08,3.06
"Menard, IL",17129,315.4,315.37,315.39,314.27,314.25,314.44,1.13,1.13
"Mercer, IL",17131,568.91,568.88,559.03,561.05,561.02,561.2,7.86,7.86
"Monroe, IL",17133,397.73,397.71,388.33,388.34,388.29,385.01,9.39,9.42
"Montgomery, IL",17135,709.79,709.75,704.91,703.85,703.8,703.69,5.94,5.96
"Morgan, IL",17137,572.29,572.26,567.92,568.81,568.76,568.79,3.48,3.51
"Moultrie, IL",17139,344.48,344.47,325.05,335.61,335.6,335.94,8.87,8.87
"Ogle, IL",17141,763.33,763.27,759.29,758.89,758.83,758.57,4.44,4.43
"Peoria, IL",17143,630.91,630.89,620.59,619.55,619.52,619.21,11.36,11.36
"Perry, IL",17145,446.84,446.81,442.56,441.01,440.96,441.76,5.83,5.85
"Piatt, IL",17147,440.35,440.33,439.09,440.04,440.02,439.2,0.31,0.31
"Pike, IL",17149,848.92,848.87,829.93,830.34,830.3,831.38,18.58,18.57
"Pope, IL",17151,374.65,374.64,374.2,370.88,370.86,368.77,3.77,3.77
"Pulaski, IL",17153,203.34,203.33,203.25,200.81,200.79,199.19,2.53,2.55
"Putnam, IL",17155,172.25,172.24,159.69,159.8,159.8,160.16,12.45,12.45
"Randolph, IL",17157,597.29,597.26,582.68,578.45,578.42,575.5,18.84,18.84
"Richland, IL",17159,362.03,362.01,360.04,360.16,360.14,359.99,1.87,1.87
"Rock Island, IL",17161,451.19,451.16,422.62,426.78,426.75,427.64,24.41,24.4
"St. Clair, IL",17163,673.99,673.95,671.75,663.9,663.81,657.76,10.09,10.15
"Saline, IL",17165,386.99,386.98,385.3,383.33,383.31,379.82,3.66,3.67
"Sangamon, IL",17167,877.11,877.01,865.62,868.27,868.18,868.3,8.84,8.82
"Schuyler, IL",17169,441.43,441.39,436.15,437.36,437.31,437.27,4.07,4.07
"Scott, IL",17171,252.79,252.77,250.62,250.96,250.92,250.91,1.83,1.85
"Shelby, IL",17173,768.09,768.05,747.23,758.55,758.51,758.52,9.54,9.54
"Stark, IL",17175,288.23,288.21,287.68,287.94,287.94,288.08,0.29,0.28
"Stephenson, IL",17177,564.78,564.72,564.45,564.28,564.18,564.52,0.5,0.54
"Tazewell, IL",17179,657.94,657.89,649.87,648.91,648.86,648.97,9.03,9.03
"Union, IL",17181,422.15,422.13,414.21,416.19,416.16,413.46,5.96,5.97
"Vermilion, IL",17183,902.18,902.14,900.01,899.13,899.08,898.37,3.05,3.06
"Wabash, IL",17185,227.78,227.76,223.63,223.49,223.47,223.25,4.29,4.29
"Warren, IL",17187,543.21,543.17,542.8,542.57,542.52,542.41,0.64,0.65
"Washington, IL",17189,564.15,564.12,563.31,562.65,562.61,562.57,1.5,1.51
"Wayne, IL",17191,715.6,715.56,714.91,713.94,713.9,713.81,1.66,1.66
"White, IL",17193,501.72,501.7,497.32,494.94,494.87,494.77,6.78,6.83
"Whiteside, IL",17195,697.06,697.01,682.02,684.82,684.77,684.25,12.24,12.24
"Will, IL",17197,849.45,849.39,843.83,837.26,836.94,836.91,12.19,12.45
"Williamson, IL",17199,444.4,444.38,426.76,424.17,423.41,420.15,20.23,20.96
"Winnebago, IL",17201,519.33,519.27,515.61,513.84,513.74,513.36,5.49,5.54
"Woodford, IL",17203,542.78,542.74,527.49,528.04,527.95,527.8,14.74,14.79
INDIANA,18000,36420.09,36417.73,35932.03,35870.18,35866.9,35826.11,549.91,550.83
"Adams, IN",18001,339.95,339.93,339.86,339.37,339.36,339.03,0.58,0.57
"Allen, IN",18003,660.14,660.1,658.7,657.29,657.25,657.31,2.85,2.85
"Bartholomew, IN",18005,409.38,409.36,408.75,406.86,406.84,406.91,2.52,2.52
"Benton, IN",18007,406.42,406.4,406.62,406.33,406.31,406.42,0.09,0.09
"Blackford, IN",18009,165.42,165.4,165.66,165.12,165.1,165.08,0.3,0.31
"Boone, IN",18011,423.31,423.28,423.37,422.75,422.85,422.91,0.56,0.42
"Brown, IN",18013,316.65,316.62,311.59,312.29,312.26,311.98,4.36,4.36
"Carroll, IN",18015,375.06,375.05,372.09,372.26,372.26,372.22,2.8,2.8
"Cass, IN",18017,414.95,414.92,414.25,412.89,412.87,412.16,2.06,2.06
"Clark, IN",18019,376.23,376.2,375.85,375.17,375.04,372.86,1.06,1.16
"Clay, IN",18021,360.42,360.39,360.24,357.65,357.62,357.54,2.77,2.78
"Clinton, IN",18023,405.3,405.28,405.11,405.12,405.1,405.07,0.18,0.18
"Crawford, IN",18025,308.87,308.85,306.72,305.7,305.68,305.64,3.17,3.17
"Daviess, IN",18027,436.89,436.86,432.31,430.75,430.66,429.49,6.14,6.2
"Dearborn, IN",18029,307.08,307.05,307.41,305.24,305.21,305.03,1.84,1.84
"Decatur, IN",18031,373.44,373.42,372.76,372.63,372.6,372.57,0.81,0.81
"DeKalb, IN",18033,363.87,363.84,363.7,362.91,362.88,362.82,0.96,0.97
"Delaware, IN",18035,395.95,395.92,391.83,393.32,393.29,392.12,2.63,2.63
"Dubois, IN",18037,435.25,435.23,429.4,430.11,430.09,427.27,5.14,5.14
"Elkhart, IN",18039,467.87,467.85,466.08,463.84,463.81,463.17,4.03,4.03
"Fayette, IN",18041,215.14,215.12,215.43,214.99,214.96,215.01,0.15,0.16
"Floyd, IN",18043,148.33,148.31,149.63,148.02,148,147.94,0.31,0.31
"Fountain, IN",18045,397.95,397.92,397.95,395.72,395.69,395.66,2.23,2.23
"Franklin, IN",18047,391.36,391.34,385.2,386.03,386,384.43,5.33,5.33
"Fulton, IN",18049,371.39,371.37,369.22,368.52,368.51,368.39,2.87,2.87
"Gibson, IN",18051,499.08,499.05,489.7,488.86,488.78,487.49,10.22,10.27
"Grant, IN",18053,414.84,414.83,414.86,414.03,414.03,414.07,0.81,0.81
"Greene, IN",18055,545.95,545.91,545.81,542.14,541.73,542.5,3.81,4.18
"Hamilton, IN",18057,402.75,402.73,398.49,398.02,397.94,394.27,4.73,4.79
"Hancock, IN",18059,306.75,306.73,307.02,306.18,306.12,306.02,0.57,0.61
"Harrison, IN",18061,486.91,486.88,486.02,485.25,485.22,484.52,1.66,1.66
"Hendricks, IN",18063,408.9,408.88,408.85,408.42,408.39,406.91,0.48,0.48
"Henry, IN",18065,394.93,394.9,394.39,392.96,392.93,391.88,1.97,1.97
"Howard, IN",18067,293.94,293.93,293.05,293.08,293.07,293.06,0.86,0.86
"Huntington, IN",18069,387.95,387.94,366.15,382.6,382.59,382.65,5.35,5.35
"Jackson, IN",18071,513.79,513.75,513.32,509.35,509.31,509.31,4.44,4.44
"Jasper, IN",18073,561.26,561.22,561.44,559.9,559.87,559.63,1.36,1.36
"Jay, IN",18075,383.84,383.82,384.04,383.66,383.64,383.91,0.18,0.18
"Jefferson, IN",18077,362.97,362.94,362.63,361.39,361.37,360.63,1.58,1.58
"Jennings, IN",18079,378.38,378.35,378.25,377.25,377.22,376.58,1.13,1.13
"Johnson, IN",18081,321.58,321.56,321.38,320.22,320.19,320.43,1.36,1.36
"Knox, IN",18083,524.08,524.06,519.6,515.86,515.83,516.03,8.22,8.22
"Kosciusko, IN",18085,554.36,554.34,539.66,537.52,537.5,531.38,16.84,16.84
"LaGrange, IN",18087,386.73,386.72,379.94,379.58,379.56,379.62,7.15,7.15
"Lake, IN",18089,626.38,626.34,500.9,497.03,496.98,498.96,129.35,129.36
"LaPorte, IN",18091,613.09,613.04,600.4,598.28,598.24,598.3,14.81,14.8
"Lawrence, IN",18093,452.1,452.07,452.08,448.87,448.83,449.17,3.23,3.24
"Madison, IN",18095,452.94,452.91,452.83,452.16,452.13,451.92,0.78,0.78
"Marion, IN",18097,403.11,403.04,396.01,396.41,396.25,396.3,6.7,6.79
"Marshall, IN",18099,449.95,449.92,444.22,444.3,444.27,443.63,5.65,5.65
"Martin, IN",18101,340.55,340.53,338.73,336.16,336.14,335.74,4.39,4.39
"Miami, IN",18103,377.38,377.36,369.28,375.76,375.62,373.84,1.62,1.74
"Monroe, IN",18105,411.34,411.32,384.66,394.37,394.35,394.51,16.97,16.97
"Montgomery, IN",18107,505.39,505.34,504.86,504.58,504.51,504.61,0.81,0.83
"Morgan, IN",18109,409.41,409.39,409.24,406.49,406.47,403.97,2.92,2.92
"Newton, IN",18111,403.56,403.53,400.91,401.88,401.85,401.76,1.68,1.68
"Noble, IN",18113,417.63,417.61,412.59,411.13,411.11,410.84,6.5,6.5
"Ohio, IN",18115,87.48,87.47,87.18,86.73,86.72,86.14,0.75,0.75
"Orange, IN",18117,408.23,408.2,408.18,399.55,399.52,398.39,8.68,8.68
"Owen, IN",18119,387.85,387.83,386.35,385.21,385.18,385.29,2.64,2.65
"Parke, IN",18121,450.12,450.1,443.55,444.82,444.77,444.66,5.3,5.32
"Perry, IN",18123,386.36,386.34,381.53,381.41,381.39,381.73,4.95,4.95
"Pike, IN",18125,341.1,341.08,340.83,336.19,336.18,334.24,4.91,4.91
"Porter, IN",18127,521.64,521.61,418.48,418.21,418.11,418.15,103.43,103.5
"Posey, IN",18129,419.47,419.45,409.46,408.52,408.5,409.57,10.95,10.95
"Pulaski, IN",18131,434.59,434.57,434.54,433.7,433.68,433.65,0.89,0.89
"Putnam, IN",18133,482.61,482.58,481.88,480.34,480.31,480.53,2.27,2.27
"Randolph, IN",18135,453.27,453.23,453.52,452.91,452.83,452.38,0.36,0.39
"Ripley, IN",18137,447.95,447.91,447.18,446.4,446.36,446.43,1.55,1.55
"Rush, IN",18139,408.65,408.62,408.23,408.34,408.28,408.12,0.31,0.34
"St. Joseph, IN",18141,460.97,460.97,459.09,457.34,457.34,457.85,3.63,3.63
"Scott, IN",18143,192.74,192.73,191.47,190.4,190.39,190.4,2.34,2.34
"Shelby, IN",18145,413.14,413.11,412.52,412.67,412.64,411.15,0.47,0.47
"Spencer, IN",18147,401.26,401.23,400.15,398.72,398.69,396.74,2.54,2.55
"Starke, IN",18149,312.33,312.31,309.43,309.33,309.31,309.13,3,3
"Steuben, IN",18151,322.5,322.48,307.96,308.74,308.72,308.94,13.76,13.76
"Sullivan, IN",18153,454.08,454.04,452.25,447.23,447.2,447.14,6.85,6.85
"Switzerland, IN",18155,223.54,223.52,223.42,221.2,221.18,220.63,2.34,2.34
"Tippecanoe, IN",18157,503.12,503.07,501.69,499.84,499.79,499.81,3.28,3.28
"Tipton, IN",18159,260.43,260.41,260.44,260.41,260.39,260.54,0.02,0.02
"Union, IN",18161,165.26,165.25,162.49,161.56,161.55,161.22,3.7,3.7
"Vanderburgh, IN",18163,235.76,235.74,236.07,234.59,234.57,233.48,1.17,1.16
"Vermillion, IN",18165,259.95,259.94,260.02,256.9,256.89,256.88,3.05,3.05
"Vigo, IN",18167,410.5,410.47,405.17,403.33,403.29,403.31,7.17,7.17
"Wabash, IN",18169,421.1,421.07,398.3,413.2,413.17,412.43,7.9,7.9
"Warren, IN",18171,366.63,366.6,366.27,364.91,364.88,364.68,1.72,1.72
"Warrick, IN",18173,390.87,390.86,391.26,384.08,384.07,384.82,6.79,6.79
"Washington, IN",18175,516.57,516.53,515.89,514.45,514.42,513.73,2.12,2.12
"Wayne, IN",18177,404.38,404.34,403.92,403.58,403.57,401.74,0.8,0.78
"Wells, IN",18179,370.43,370.41,370.2,369.98,369.96,368.09,0.45,0.45
"White, IN",18181,508.82,508.8,506.35,505.25,505.24,505.13,3.57,3.56
"Whitley, IN",18183,337.91,337.9,335.72,335.53,335.52,335.57,2.38,2.38
IOWA,19000,56275.54,56271.55,55965.37,55874.9,55869.36,55857.13,400.64,402.2
"Adair, IA",19001,570.33,570.31,569.64,569.33,569.3,569.27,1,1
"Adams, IA",19003,425.42,425.41,424.95,423.55,423.54,423.44,1.87,1.87
"Allamakee, IA",19005,658.75,658.71,633.37,639.6,639.56,639.08,19.15,19.14
"Appanoose, IA",19007,516.39,516.35,497.7,496.28,496.25,497.29,20.11,20.1
"Audubon, IA",19009,443.6,443.58,444.47,443.16,443.13,442.96,0.44,0.44
"Benton, IA",19011,718.52,718.45,718.33,716.46,716.39,716.27,2.06,2.06
"Black Hawk, IA",19013,571.96,571.91,572.79,567.37,567.11,565.77,4.59,4.8
"Boone, IA",19015,573.54,573.51,573.49,571.49,571.46,571.57,2.05,2.05
"Bremer, IA",19017,439.64,439.6,439.22,437.94,437.9,435.48,1.7,1.7
"Buchanan, IA",19019,573.38,573.35,572.23,571.29,571.26,571.02,2.09,2.09
"Buena Vista, IA",19021,580.1,580.07,574.72,574.82,574.78,574.92,5.28,5.28
"Butler, IA",19023,581.6,581.56,581.79,580.42,580.38,580.13,1.18,1.18
"Calhoun, IA",19025,572.33,572.29,571.27,570.2,570.15,569.97,2.13,2.14
"Carroll, IA",19027,570.27,570.24,569.98,569.35,569.31,569.44,0.92,0.92
"Cass, IA",19029,565.03,565.01,564.92,564.35,564.33,564.27,0.68,0.68
"Cedar, IA",19031,582.01,581.96,582.33,579.57,579.52,579.44,2.44,2.44
"Cerro Gordo, IA",19033,575.18,575.12,569.41,568.43,568.33,568.31,6.75,6.8
"Cherokee, IA",19035,577.38,577.34,577.1,577.2,577.15,576.91,0.18,0.18
"Chickasaw, IA",19037,505.53,505.48,504.53,504.7,504.64,504.38,0.83,0.84
"Clarke, IA",19039,431.75,431.72,430.99,431.15,431.12,431.17,0.6,0.6
"Clay, IA",19041,572.56,572.51,568.6,568.93,568.89,567.24,3.63,3.63
"Clayton, IA",19043,792.85,792.81,778.52,778.85,778.81,778.54,14,14
"Clinton, IA",19045,710.26,710.19,694.95,695.05,694.98,694.92,15.21,15.21
"Crawford, IA",19047,715.04,714.99,714.45,714.41,714.36,714.19,0.63,0.63
"Dallas, IA",19049,591.77,591.73,590.77,586.51,586.47,588.45,5.26,5.26
"Davis, IA",19051,504.93,504.89,503.97,503.28,503.24,502.19,1.65,1.65
"Decatur, IA",19053,533.36,533.32,535.13,532.25,531.8,531.88,1.11,1.52
"Delaware, IA",19055,579.08,579.05,577.95,577.88,577.85,577.76,1.2,1.19
"Des Moines, IA",19057,429.83,429.8,414,416.18,416.15,416.12,13.65,13.65
"Dickinson, IA",19059,403.71,403.69,380.59,381.07,381.06,380.61,22.64,22.63
"Dubuque, IA",19061,616.63,616.56,606.67,608.22,608.16,608.31,8.41,8.41
"Emmet, IA",19063,402.4,402.38,393.79,395.77,395.74,395.88,6.63,6.63
"Fayette, IA",19065,731.47,731.45,731.28,730.98,730.92,730.81,0.49,0.52
"Floyd, IA",19067,501.33,501.31,501.36,500.59,500.56,500.63,0.74,0.74
"Franklin, IA",19069,583.06,583.01,582.59,582.49,582.44,581.97,0.57,0.57
"Fremont, IA",19071,516.79,516.76,514.85,511.32,511.08,511.15,5.47,5.68
"Greene, IA",19073,571.16,571.13,571.3,568.44,568.41,569.57,2.72,2.72
"Grundy, IA",19075,502.58,502.55,501.3,502.55,502.51,501.86,0.03,0.03
"Guthrie, IA",19077,593.09,593.06,590.25,590.63,590.6,590.62,2.46,2.46
"Hamilton, IA",19079,577.47,577.44,576.3,576.71,576.68,576.75,0.76,0.76
"Hancock, IA",19081,573.18,573.14,571.02,571.15,571.11,571.01,2.03,2.03
"Hardin, IA",19083,569.99,569.93,569.11,569.31,569.26,569.31,0.68,0.68
"Harrison, IA",19085,700.99,700.93,697.48,696.86,696.72,696.85,4.13,4.2
"Henry, IA",19087,436.71,436.68,435.92,434.47,434.44,434.33,2.24,2.24
"Howard, IA",19089,473.8,473.76,472.79,473.44,473.4,473.25,0.36,0.36
"Humboldt, IA",19091,435.75,435.73,436.49,434.43,434.41,434.35,1.32,1.31
"Ida, IA",19093,432.26,432.23,431.9,431.74,431.71,431.51,0.52,0.52
"Iowa, IA",19095,587.39,587.35,587.24,586.5,586.45,586.46,0.89,0.9
"Jackson, IA",19097,649.81,649.75,638.02,636.15,636.09,636.04,13.66,13.66
"Jasper, IA",19099,732.97,732.93,731.27,730.03,729.99,730.42,2.94,2.94
"Jefferson, IA",19101,436.76,436.72,439.67,435.38,435.34,435.51,1.38,1.38
"Johnson, IA",19103,623.41,623.35,614.14,614.54,614.48,614.04,8.87,8.87
"Jones, IA",19105,576.74,576.7,576.27,575.36,575.31,575.62,1.38,1.39
"Keokuk, IA",19107,579.99,579.94,580.18,579.24,579.19,579.18,0.75,0.75
"Kossuth, IA",19109,974.46,974.39,973.94,973.08,973.01,972.72,1.38,1.38
"Lee, IA",19111,538.8,538.77,521.92,517.42,517.39,517.52,21.38,21.37
"Linn, IA",19113,724.62,724.55,723.97,717.52,717.44,716.88,7.1,7.1
"Louisa, IA",19115,417.67,417.64,402.04,401.94,401.92,401.77,15.73,15.73
"Lucas, IA",19117,434.21,434.17,432.49,430.59,430.55,430.59,3.62,3.63
"Lyon, IA",19119,587.68,587.63,587.75,587.55,587.5,587.65,0.13,0.13
"Madison, IA",19121,562.33,562.3,562.74,561.17,561.14,561.01,1.16,1.16
"Mahaska, IA",19123,573.45,573.4,571.43,570.95,570.87,570.86,2.5,2.53
"Marion, IA",19125,570.58,570.53,560.09,554.26,554.21,554.53,16.32,16.32
"Marshall, IA",19127,573.07,573.02,572.99,572.37,572.32,572.5,0.7,0.7
"Mills, IA",19129,439.7,439.67,439.22,436.57,436.53,437.44,3.13,3.13
"Mitchell, IA",19131,469.42,469.4,469.5,468.95,468.92,469.13,0.47,0.47
"Monona, IA",19133,698.89,698.85,697.07,693.16,693.12,694.07,5.73,5.73
"Monroe, IA",19135,434.14,434.11,433.94,433.44,433.41,433.72,0.7,0.7
"Montgomery, IA",19137,424.84,424.81,423.79,423.91,423.88,424.1,0.93,0.93
"Muscatine, IA",19139,449.09,449.07,441.63,438.69,438.67,437.47,10.4,10.4
"O'Brien, IA",19141,573.3,573.25,573.53,573.13,573.08,573.04,0.17,0.17
"Osceola, IA",19143,399.52,399.48,398.51,398.8,398.77,398.68,0.72,0.71
"Page, IA",19145,535.38,535.35,535.27,534.86,534.82,534.94,0.52,0.52
"Palo Alto, IA",19147,569.45,569.4,561.72,563.88,563.83,563.84,5.57,5.57
"Plymouth, IA",19149,864.02,863.96,864.05,863.64,863.56,862.89,0.38,0.39
"Pocahontas, IA",19151,579.17,579.13,576.92,577.74,577.7,577.24,1.43,1.42
"Polk, IA",19153,591.94,591.9,581.92,569.48,569.35,573.8,22.46,22.55
"Pottawattamie, IA",19155,960.01,959.94,953.34,954.33,954.26,950.28,5.68,5.68
"Poweshiek, IA",19157,586.22,586.17,585.18,585.07,585.03,584.93,1.15,1.14
"Ringgold, IA",19159,538.96,538.92,535.48,537.71,537.67,535.5,1.25,1.26
"Sac, IA",19161,578.42,578.38,576.42,575.83,575.82,575.01,2.59,2.56
"Scott, IA",19163,468.2,468.17,459.11,457.91,457.93,458.09,10.29,10.24
"Shelby, IA",19165,591.4,591.37,590.89,590.91,590.83,590.78,0.49,0.54
"Sioux, IA",19167,768.65,768.58,768.7,767.95,767.88,768.33,0.7,0.7
"Story, IA",19169,573.73,573.7,573.54,572.89,572.86,572.82,0.84,0.84
"Tama, IA",19171,722.42,722.37,721.43,721.35,721.3,721.01,1.07,1.07
"Taylor, IA",19173,534.85,534.83,537.09,533.98,533.95,531.9,0.87,0.87
"Union, IA",19175,425.98,425.95,425.8,424.41,424.39,423.65,1.57,1.57
"Van Buren, IA",19177,490.59,490.55,483.64,485.25,484.82,484.79,5.34,5.73
"Wapello, IA",19179,436.02,435.98,434.18,431.85,431.81,431.83,4.17,4.17
"Warren, IA",19181,573.24,573.21,572.59,571.68,571.64,569.83,1.56,1.56
"Washington, IA",19183,570.81,570.77,570.07,568.83,568.71,568.84,1.98,2.06
"Wayne, IA",19185,527.12,527.08,526.44,525.64,525.6,525.44,1.48,1.48
"Webster, IA",19187,718.1,718.05,718.09,715.28,715.23,715.62,2.82,2.82
"Winnebago, IA",19189,401.59,401.57,400.79,400.48,400.47,400.49,1.11,1.1
"Winneshiek, IA",19191,689.93,689.88,689.9,689.66,689.61,689.87,0.27,0.27
"Woodbury, IA",19193,877.43,877.39,873.47,872.65,872.59,872.83,4.78,4.79
"Worth, IA",19195,401.73,401.71,400.89,400.01,400,400.12,1.72,1.71
"Wright, IA",19197,582.58,582.54,578.55,580.76,580.72,580.42,1.82,1.82
KANSAS,20000,82282,82276.84,81778.1,81823.02,81814.88,81758.72,458.98,461.96
"Allen, KS",20001,505.24,505.18,505.19,503.07,503.01,500.3,2.17,2.18
"Anderson, KS",20003,584.35,584.29,583.52,582.98,582.92,579.65,1.37,1.38
"Atchison, KS",20005,435.06,435.04,430.8,432.36,432.34,431.17,2.7,2.7
"Barber, KS",20007,1136.27,1136.21,1136.37,1134.17,1134.11,1134.07,2.1,2.1
"Barton, KS",20009,900.5,900.46,895.44,894.04,894,895.4,6.46,6.46
"Bourbon, KS",20011,638.88,638.82,638.19,637.14,637.09,635.47,1.74,1.73
"Brown, KS",20013,572.23,572.2,571.54,570.71,570.67,570.87,1.52,1.52
"Butler, KS",20015,1446.49,1446.42,1443.24,1428.16,1427.85,1429.86,18.33,18.57
"Chase, KS",20017,778.06,778.01,776.96,775.94,775.89,773.06,2.12,2.12
"Chautauqua, KS",20019,644.87,644.83,643.78,641.73,641.69,638.88,3.14,3.14
"Cherokee, KS",20021,591.02,590.96,590.38,587.17,587.12,587.57,3.85,3.85
"Cheyenne, KS",20023,1020.89,1020.84,1020.87,1019.94,1019.88,1019.89,0.95,0.95
"Clark, KS",20025,977.27,977.2,975.05,974.75,974.68,974.63,2.52,2.52
"Clay, KS",20027,655.46,655.44,631.54,643.87,643.84,645.3,11.59,11.6
"Cloud, KS",20029,718.51,718.47,717.68,715.67,715.63,715.34,2.84,2.84
"Coffey, KS",20031,654.63,654.57,614.97,630.27,629.75,626.95,24.36,24.82
"Comanche, KS",20033,789.75,789.7,788.8,788.36,788.31,788.3,1.39,1.39
"Cowley, KS",20035,1132.67,1132.6,1127.74,1126.34,1126.24,1125.75,6.33,6.37
"Crawford, KS",20037,595.11,595.05,594.84,592.98,592.91,589.76,2.13,2.14
"Decatur, KS",20039,894.23,894.18,893.74,893.6,893.55,893.52,0.63,0.63
"Dickinson, KS",20041,852.66,852.12,852.12,848.44,847.92,847.07,4.22,4.2
"Doniphan, KS",20043,397.1,397.07,387.63,392.21,392.18,393.41,4.89,4.89
"Douglas, KS",20045,474.5,474.47,460.76,456.96,456.87,455.87,17.54,17.6
"Edwards, KS",20047,622.13,622.1,619.58,622.05,622.02,621.89,0.08,0.08
"Elk, KS",20049,650.41,650.36,650.03,647.86,647.29,644.27,2.55,3.07
"Ellis, KS",20051,900.52,900.47,900.45,900.02,899.97,899.91,0.5,0.5
"Ellsworth, KS",20053,723.47,723.44,716.98,715.93,715.91,715.85,7.54,7.54
"Finney, KS",20055,1302.69,1302.62,1302.12,1300.16,1301.77,1301.97,2.53,0.84
"Ford, KS",20057,1099.35,1099.29,1098.73,1098.56,1098.5,1098.27,0.79,0.79
"Franklin, KS",20059,576.7,576.65,577.23,573.9,573.85,571.76,2.8,2.8
"Geary, KS",20061,403.95,404.39,376.88,384.27,384.69,384.62,19.68,19.7
"Gove, KS",20063,1071.55,1071.47,1071.81,1071.46,1071.38,1071.67,0.09,0.09
"Graham, KS",20065,898.72,898.67,898.46,898.34,898.29,898.52,0.38,0.38
"Grant, KS",20067,575.1,575.04,575.17,574.92,574.86,574.8,0.18,0.18
"Gray, KS",20069,869.39,869.34,867.62,868.95,868.9,868.87,0.44,0.44
"Greeley, KS",20071,778.05,778.01,778.37,778.05,778.01,778.45,0,0
"Greenwood, KS",20073,1152.66,1152.59,1134.71,1139.82,1139.67,1143.3,12.84,12.92
"Hamilton, KS",20075,997.66,997.62,997.54,996.53,996.49,996.51,1.13,1.13
"Harper, KS",20077,803,802.95,802.06,801.49,801.44,801.27,1.51,1.51
"Harvey, KS",20079,540.54,540.5,540.41,539.43,539.33,539.75,1.11,1.17
"Haskell, KS",20081,577.75,577.73,577.65,577.39,577.37,577.52,0.36,0.36
"Hodgeman, KS",20083,860.29,860.24,860.4,859.97,859.92,859.99,0.32,0.32
"Jackson, KS",20085,657.9,657.86,657.54,656.86,655.59,656.22,1.04,2.27
"Jefferson, KS",20087,556.98,556.94,535.36,536.15,536.11,532.57,20.83,20.83
"Jewell, KS",20089,914.51,914.47,909.66,909.22,909.18,909.78,5.29,5.29
"Johnson, KS",20091,480.18,480.15,477.89,476.78,476.78,473.38,3.4,3.37
"Kearny, KS",20093,871.57,871.5,867.68,870.05,871.06,870.54,1.52,0.44
"Kingman, KS",20095,866.75,866.7,865.43,863.72,863.35,863.36,3.03,3.35
"Kiowa, KS",20097,722.67,722.62,722.77,722.44,722.39,722.64,0.23,0.23
"Labette, KS",20099,653.36,653.3,652.8,648.91,648.82,645.3,4.45,4.48
"Lane, KS",20101,717.48,717.43,717.41,717.27,717.22,717.46,0.21,0.21
"Leavenworth, KS",20103,468.36,468.33,462.62,463.3,463.27,462.83,5.06,5.06
"Lincoln, KS",20105,719.97,719.94,719.67,718.9,718.87,719.4,1.07,1.07
"Linn, KS",20107,606.35,606.29,600.79,598.77,598.67,594.06,7.58,7.62
"Logan, KS",20109,1073.17,1073.09,1073.22,1073.06,1072.99,1072.99,0.11,0.11
"Lyon, KS",20111,855.21,855.14,844.41,850.99,850.87,847.47,4.22,4.27
"McPherson, KS",20113,901.29,901.24,900.26,899.81,899.71,898.27,1.48,1.52
"Marion, KS",20115,953.59,953.54,944.13,943.16,943.11,944.29,10.43,10.43
"Marshall, KS",20117,904.41,904.36,877.59,902.63,902.53,900.18,1.78,1.83
"Meade, KS",20119,979.72,979.66,978.61,978.48,978.42,978.09,1.24,1.24
"Miami, KS",20121,590.2,590.15,589.8,576.76,576.72,575.66,13.44,13.43
"Mitchell, KS",20123,718.65,718.62,717.37,699.92,699.82,701.79,18.73,18.8
